id,track_uri,track_name,artist_id,artist_name,artist_uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key
6jAyMqsMuu7NTmefJVE8Pc,spotify:track:6jAyMqsMuu7NTmefJVE8Pc,Half Moon,6qiGjRyN7TJ1GA2nXF68Hi,Blind Pilot,spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,0.164,0.54,0.535,0.00225,0.104,-8.909,0.0315,150.84,0.471,Half Moon:Blind Pilot
3CboywxfJIgvHqi2FF4exb,spotify:track:3CboywxfJIgvHqi2FF4exb,Loverboy,56OjNTX2bkrdGcB0staUOV,A-Wall,spotify:artist:56OjNTX2bkrdGcB0staUOV,0.649,0.604,0.466,0.0334,0.093,-10.093,0.0315,120.045,0.499,Loverboy:A-Wall
1Ob94QesoxHSBrypyBbdfd,spotify:track:1Ob94QesoxHSBrypyBbdfd,Shot Down,6LuN9FCkKOj5PcnpouEgny,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,0.893,0.767,0.512,0.000223,0.103,-6.777,0.0591,123.921,0.489,Shot Down:Khalid
7uDE8BEhRLOdUaRuFw6VGR,spotify:track:7uDE8BEhRLOdUaRuFw6VGR,The Captain's Dead,3XquRQYlB1gXQkYdOV7S2x,Paddy And The Rats,spotify:artist:3XquRQYlB1gXQkYdOV7S2x,0.00104,0.533,0.976,7.8e-05,0.188,-1.818,0.0448,129.999,0.896,The Captain's Dead:Paddy And The Rats
6SkAUtqtV7DPMwMSBOxnch,spotify:track:6SkAUtqtV7DPMwMSBOxnch,Blinding Lights,2A5VOguZzXMBrg27MEUZcp,Twenty One Two,spotify:artist:2A5VOguZzXMBrg27MEUZcp,0.00233,0.496,0.824,6.64e-06,0.127,-5.949,0.034,171.009,0.502,Blinding Lights:Twenty One Two
05qCCJQJiOwvPQBb7akf1R,spotify:track:05qCCJQJiOwvPQBb7akf1R,Jamie All Over,3WfJ1OtrWI7RViX9DMyEGy,Mayday Parade,spotify:artist:3WfJ1OtrWI7RViX9DMyEGy,6.54e-05,0.426,0.868,0.0,0.0723,-3.702,0.047,149.042,0.402,Jamie All Over:Mayday Parade
66iP3U2QOKgevrnrbWk53S,spotify:track:66iP3U2QOKgevrnrbWk53S,"thank u, next",6MERXsiRbur2oJZFgYRDKz,Vitamin String Quartet,spotify:artist:6MERXsiRbur2oJZFgYRDKz,0.957,0.417,0.202,0.00862,0.0689,-10.881,0.0442,69.177,0.635,"thank u, next:Vitamin String Quartet"
6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,4gwpcMTbLWtBUlOijbVpuu,Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu,0.000176,0.655,0.819,0.00374,0.104,-4.852,0.0316,117.956,0.766,Safe And Sound:Capital Cities
6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,0.132,0.738,0.814,9.64e-06,0.126,-4.414,0.0999,119.041,0.483,Know No Better:Major Lazer
4eS6SJczn7yay78Spw3SPy,spotify:track:4eS6SJczn7yay78Spw3SPy,Do I Wanna Know? (triple j Like A Version),3CjlHNtplJyTf9npxaPl5w,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w,0.0791,0.603,0.656,8.03e-05,0.199,-6.639,0.0449,174.029,0.664,Do I Wanna Know? (triple j Like A Version):CHVRCHES
57uX2vR9j9DNiANDYfXw1i,spotify:track:57uX2vR9j9DNiANDYfXw1i,Never Say Never,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,0.568,0.23,0.492,8.18e-06,0.176,-5.767,0.0317,160.139,0.262,Never Say Never:The Fray
2eJEWLQLjVXxsSHFvsPT85,spotify:track:2eJEWLQLjVXxsSHFvsPT85,Kabhi Na Kabhi,2DmMcw1UxHSzAEFrMY3r2D,Junaid Jamshed,spotify:artist:2DmMcw1UxHSzAEFrMY3r2D,0.00785,0.752,0.546,7.59e-05,0.0754,-10.836,0.142,79.774,0.606,Kabhi Na Kabhi:Junaid Jamshed
34bkeltN0CGAKzj4DRG4sX,spotify:track:34bkeltN0CGAKzj4DRG4sX,Crying on the Dancefloor,6eJa3zG1QZLRB3xgRuyxbm,Dayglow,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,0.00164,0.607,0.622,0.595,0.181,-8.238,0.0258,99.997,0.266,Crying on the Dancefloor:Dayglow
4LOERGk6nLbb9sLrmeCjmG,spotify:track:4LOERGk6nLbb9sLrmeCjmG,Amrit,6gWwKC0laX7pTPjNgrwvQR,Meesha Shafi,spotify:artist:6gWwKC0laX7pTPjNgrwvQR,0.415,0.553,0.357,0.000384,0.137,-9.53,0.0301,79.981,0.114,Amrit:Meesha Shafi
4sofJiicQwKsRo3S1vpt39,spotify:track:4sofJiicQwKsRo3S1vpt39,Turning Me Up (Hadal Ahbek),6dO0RkhFhjMwLtLQqNgL8r,Issam Alnajjar,spotify:artist:6dO0RkhFhjMwLtLQqNgL8r,0.144,0.744,0.816,8.51e-06,0.0902,-3.933,0.0372,120.062,0.748,Turning Me Up (Hadal Ahbek):Issam Alnajjar
27FjnefSYiOgaG6jhytdE2,spotify:track:27FjnefSYiOgaG6jhytdE2,Kaise Bataaoon,4fEkbug6kZzzJ8eYX6Kbbp,KK,spotify:artist:4fEkbug6kZzzJ8eYX6Kbbp,0.705,0.677,0.503,3.7e-06,0.104,-7.144,0.0524,107.693,0.37,Kaise Bataaoon:KK
3QqOcLtTU8zzlQRJCZzttP,spotify:track:3QqOcLtTU8zzlQRJCZzttP,C'est La Vie (with bbno$ & Rich Brian),2YOYua8FpudSEiB9s88IgQ,Yung Gravy,spotify:artist:2YOYua8FpudSEiB9s88IgQ,0.06,0.881,0.782,0.0,0.0616,-3.657,0.0803,142.119,0.774,C'est La Vie (with bbno$ & Rich Brian):Yung Gravy
01UeBfllW39eaKdiCw556R,spotify:track:01UeBfllW39eaKdiCw556R,Out Of My Mind,2HkeqbrT7lYnGoiw7tQBqr,Gentrammel,spotify:artist:2HkeqbrT7lYnGoiw7tQBqr,0.663,0.61,0.609,0.0,0.61,-7.193,0.0372,78.009,0.659,Out Of My Mind:Gentrammel
0PgYPBGqF6Wm5KFHQ81nq5,spotify:track:0PgYPBGqF6Wm5KFHQ81nq5,comethru (with Bea Miller),3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,spotify:artist:3gIRvgZssIb9aiirIg0nI3,0.572,0.757,0.192,0.0,0.606,-11.842,0.0515,94.024,0.595,comethru (with Bea Miller):Jeremy Zucker
3jMeoTAxDrZfkVxMmWcWCg,spotify:track:3jMeoTAxDrZfkVxMmWcWCg,Light of Mine,5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,spotify:artist:5CMaNobmJYgXcfiT0zYOwi,0.000529,0.56,0.973,0.53,0.155,-2.389,0.086,159.976,0.0749,Light of Mine:WHIPPED CREAM
5iyNH1Dmxif1k4Nl1gMeuh,spotify:track:5iyNH1Dmxif1k4Nl1gMeuh,Masakali,5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,spotify:artist:5GnnSrwNCGyfAU4zuIytiS,0.138,0.678,0.622,2.32e-06,0.122,-7.988,0.0695,100.005,0.535,Masakali:Mohit Chauhan
5AiPk1WhVkVOouovFAtLFO,spotify:track:5AiPk1WhVkVOouovFAtLFO,BAAZ,1SlrUQlFRfExXSCkHsQgBc,JJ47,spotify:artist:1SlrUQlFRfExXSCkHsQgBc,0.102,0.58,0.444,0.0,0.0787,-10.488,0.586,74.762,0.297,BAAZ:JJ47
683GRHUicIXky5aU1aMfW9,spotify:track:683GRHUicIXky5aU1aMfW9,Mil Zara,01pFDtbY3k5uOmy0Pbg93C,Rovalio,spotify:artist:01pFDtbY3k5uOmy0Pbg93C,0.00476,0.58,0.879,0.0,0.132,-3.351,0.0388,169.97,0.187,Mil Zara:Rovalio
45RuoPxyyx8dMo3cPL7QwQ,spotify:track:45RuoPxyyx8dMo3cPL7QwQ,Maan Kunto Maula,4IodA7kOT3aXLU9by0lATP,Fareed Ayaz Abu Muhammad Qawwal,spotify:artist:4IodA7kOT3aXLU9by0lATP,0.905,0.483,0.805,3.15e-05,0.164,-7.523,0.41,114.894,0.636,Maan Kunto Maula:Fareed Ayaz Abu Muhammad Qawwal
48kpWTPYYy5Edp3CHwrrOj,spotify:track:48kpWTPYYy5Edp3CHwrrOj,COMPLETE MESS,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,0.0573,0.398,0.519,1.86e-05,0.191,-6.926,0.0315,81.377,0.133,COMPLETE MESS:5 Seconds of Summer
3v5WRAItrZgr5vCdW3vTmz,spotify:track:3v5WRAItrZgr5vCdW3vTmz,Retrograde (feat. 6LACK & Lucky Daye),6LuN9FCkKOj5PcnpouEgny,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,0.0749,0.529,0.555,0.000223,0.0726,-6.259,0.0401,179.821,0.582,Retrograde (feat. 6LACK & Lucky Daye):Khalid
3csQ8JVWNQ3qrt1OswiPgt,spotify:track:3csQ8JVWNQ3qrt1OswiPgt,Dharkay Jiya,5QHScjNJhVCWz5VM3XMYZI,Call,spotify:artist:5QHScjNJhVCWz5VM3XMYZI,0.456,0.508,0.449,0.0,0.186,-9.483,0.0354,169.983,0.373,Dharkay Jiya:Call
2bL2gyO6kBdLkNSkxXNh6x,spotify:track:2bL2gyO6kBdLkNSkxXNh6x,Animals,04gDigrS5kc9YWfZHwBETP,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,0.000185,0.279,0.742,0.0,0.593,-6.46,0.0898,189.868,0.328,Animals:Maroon 5
7vvmU5ayTrVWiNVxiwHLQI,spotify:track:7vvmU5ayTrVWiNVxiwHLQI,Kaafizyada,5z64uWhlp31wS6DysFX99p,Udbhav,spotify:artist:5z64uWhlp31wS6DysFX99p,0.795,0.711,0.465,0.0115,0.213,-10.275,0.0331,121.016,0.534,Kaafizyada:Udbhav
3Ueq2zboxwAbsvHrOjdEqz,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,MIA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,0.0141,0.817,0.539,0.000496,0.099,-6.349,0.0621,97.061,0.158,MIA:Bad Bunny
1lO9CZo6eDrOy0S7khgryG,spotify:track:1lO9CZo6eDrOy0S7khgryG,No Regrets (feat. Don Toliver),7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,0.0048,0.756,0.747,0.00536,0.588,-5.407,0.046,134.935,0.0687,No Regrets (feat. Don Toliver):Eminem
02nTpchENdZ4Nm8AfTmrFv,spotify:track:02nTpchENdZ4Nm8AfTmrFv,Conceited,08PvCOlef4xdOr20jFSTPd,Flo Milli,spotify:artist:08PvCOlef4xdOr20jFSTPd,0.0634,0.978,0.683,5.88e-05,0.523,-5.743,0.0981,118.041,0.419,Conceited:Flo Milli
2ochlNu8xd3kD6ac1Ek4iO,spotify:track:2ochlNu8xd3kD6ac1Ek4iO,Meet Me At Our Spot,7naAJDAh7AZnf18YYfQruM,Christian French,spotify:artist:7naAJDAh7AZnf18YYfQruM,0.227,0.6,0.667,0.00067,0.148,-6.452,0.0319,77.983,0.722,Meet Me At Our Spot:Christian French
3WXhshrs1fzwF3rQE399Gq,spotify:track:3WXhshrs1fzwF3rQE399Gq,Kill V. Maim,053q0ukIDRgzwTr4vNSwab,Grimes,spotify:artist:053q0ukIDRgzwTr4vNSwab,0.00744,0.578,0.947,0.0816,0.105,-2.431,0.0359,134.033,0.456,Kill V. Maim:Grimes
3ZCTVFBt2Brf31RLEnCkWJ,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,0.243,everything i wanted:Billie Eilish
