library_artist_id,name,uri
0,Ali Sethi,spotify:artist:3NegWDGp038A3FIi3gSYzl
1,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH
2,Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF
3,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL
4,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
5,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
6,Emei,spotify:artist:7E2aQQjErJocovYFjYLzWU
7,Fareed Ayaz Abu Muhammad Qawwal,spotify:artist:4IodA7kOT3aXLU9by0lATP
8,Foster The People,spotify:artist:7gP3bB2nilZXLfPHJhMdvc
9,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq
10,Hasan Raheem,spotify:artist:6gIqKYKRmltKfkTnxhMv8V
11,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS
12,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
13,Jeremy Zucker,spotify:artist:3gIRvgZssIb9aiirIg0nI3
14,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
15,Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
16,Lofi Fruits Music,spotify:artist:1dABGukgZ8XKKOdd2rVSHM
17,Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L
18,MidnightDrives,spotify:artist:68NNfRvaf3otTQcgvnF0ed
19,Natasha Noorani,spotify:artist:1nGL9DljVpkRcayU8Wi285
20,Panic! At The Disco,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK
21,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60
22,Quinn XCII,spotify:artist:3ApUX1o6oSz321MMECyIYd
23,Ritviz,spotify:artist:72beYOeW2sb2yfcS4JsRvb
24,Riz Ahmed,spotify:artist:5R8TntIOEwJcu4NnhGi8KW
25,Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
26,Shamoon Ismail,spotify:artist:5bxVbtf4t5k1QPmy0XDvgv
27,Styx,spotify:artist:4salDzkGmfycRqNUbyBphh
28,The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW
29,The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2
30,The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK
31,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh
32,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
33,Weezer,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu
