library_show_id,name,publisher,uri
0,A History of the World in 100 Objects,BBC Radio 4,spotify:show:01J8pPwYAt3NEvAkkuDOSs
1,Archetypes,Archewell Audio,spotify:show:6UfyXZgVAUX1UzF8j5L72t
2,Batman Unburied,Warner Bros. / Spotify Studios ,spotify:show:3pUWoZ6fC2qA02D3X0CeMb
3,Batman: The Audio Adventures,HBO Max,spotify:show:6YOANXuJ8AAtB2bFilDm6g
4,Chasing Life,CNN,spotify:show:3nKvLT48YbbRQoCYQ4ern1
5,Daily Quote,Parcast,spotify:show:24eKquCRxqOzM7qwVyVcNd
6,Dare to Lead with Brené Brown,Parcast,spotify:show:3oEPsPKDhPVoNNL7pH5db6
7,Dreamscapes,Dreamscapes,spotify:show:3YvkqDkpemZOvwSlLbq3c3
8,Electric Easy,QCODE,spotify:show:6mtiQZQcdxeBrYgQ4UDDpT
9,Every Little Thing,Gimlet,spotify:show:2dY2l2v95zz9HTlYvDSAdA
10,Faerie,Parcast,spotify:show:2luefy24L2m5FOxSZ4eiFi
11,Fictional,"Jason Weiser, Carissa Weiser | Bardic",spotify:show:5D3FdZ9Pq286O7owqg7tH5
12,Financial Analysts Journal,CFA Institute,spotify:show:0fLeIrU8s5RroyZiyEEaf5
13,Freaky Folklore,Eeriecast Network,spotify:show:0uiX155WEJnN7QVRfo3aQY
14,From where does it STEM?,JP Flores,spotify:show:1KLdFOVbk70n2qAz6zcdv2
15,Gradient Dissent,Lukas Biewald,spotify:show:7o9r3fFig3MhTJwehXDbXm
16,Growing Up Halal,The GUH Team,spotify:show:1EtVqFHbh5ssn8WFEkRw9i
17,Guiding Assets,CFA Institute,spotify:show:4z0UYTI6B1pfSk5UrpCqFk
18,Libra Today,Parcast,spotify:show:3wZSZkhUgJ4Uo8AnlSFTq7
19,Life Kit,NPR,spotify:show:5J0xAfsLX7bEYzGxOin4Sd
20,Lore,Aaron Mahnke and Grim & Mild,spotify:show:25PdDOYwfXDFvZ4pI1JWDh
21,Love Letters,The Boston Globe,spotify:show:1iohmBNlRooIVtukKeavRa
22,McKinsey Recruiting,McKinsey & Company Recruiting,spotify:show:69wkE6ZMWPQCccY1ncnYm8
23,Merriam-Webster's Word of the Day,Merriam-Webster,spotify:show:3eriKFVHdrmszF1Ip491eA
24,Modern Love,The New York Times,spotify:show:03Er7mSPq9IEewOgbPD3vO
25,Moments with The Slowdown,American Public Media,spotify:show:1WntSp7YIKh9hUIkv2odkb
26,Mythology,Parcast,spotify:show:1g056e2x0Y9AwW6CQF3qA5
27,Myths and Legends,"Jason Weiser, Carissa Weiser, Nextpod",spotify:show:6xqETOvGnSQHH0xdLtgcXU
28,Not Past It ,Gimlet,spotify:show:2IDH4p3mEBPgVHbq4HQVA2
29,Philosophize This!,Stephen West,spotify:show:2Shpxw7dPoxRJCdfFXTWLE
30,Science Rules! with Bill Nye,Stitcher & Bill Nye,spotify:show:3zGr8BgdHMdhUeLhgEYX8R
31,Science Vs,Gimlet,spotify:show:5lY4b5PGOvMuOYOjOVEcb9
32,Self Care IRL,Ty Alexander,spotify:show:0WxOgXrCh6s2Kko9c7TnjW
33,Stuff To Blow Your Mind,iHeartPodcasts,spotify:show:00VIrB4E80ThIbMnsgAoTA
34,Stuff You Should Know,iHeartPodcasts,spotify:show:0ofXAdFIQQRsCYj9754UFx
35,TED Talks Daily,TED,spotify:show:1VXcH8QHkjRcTCEd88U3ti
36,Tales,Parcast,spotify:show:2OIRaDoDPKx77wz1945ihy
37,The Daily Stoic,Daily Stoic | Wondery,spotify:show:7fY99FB3bNyn7nEdXCoBeB
38,The Final Round,AJ Eckstein,spotify:show:6VdnM88XFgbvBpUALR7eKL
39,The Intelligence from The Economist,The Economist,spotify:show:12zKAMNyS2GNentUzxq9QN
40,The Morning Ritual,Lilly Balch,spotify:show:39TsU0WWrC1jydU4BzfaRF
41,The Psychology of your 20’s,The Psychology of your 20’s,spotify:show:2HGcJRYrjGnpce6bRp8UXm
42,The Slowdown,American Public Media,spotify:show:4RxtLcGLwsYw6YLQdCDLPE
43,The Window,Spotify Studios,spotify:show:5mhBs8uGFudk5Ibtx1rLRj
44,"Think Fast, Talk Smart: Communication Techniques",Stanford GSB,spotify:show:6ll0MwobDt1JW9gYaOONEo
45,"Today, Explained",Vox,spotify:show:3pXx5SXzXwJxnf4A5pWN2A
46,Unexplainable,Vox,spotify:show:0PhoePNItwrXBnmAEZgYmt
47,WSJ What’s News,The Wall Street Journal,spotify:show:59176gU8vcFho6Sc1dm3Lu
48,WSJ Your Money Briefing,The Wall Street Journal,spotify:show:5YRV9BLDp5J6ODvbHsDmJi
49,WSJ’s The Future of Everything,The Wall Street Journal,spotify:show:2KICk2MxwEn9csPnvDQt6Q
50,Wake Up / Wind Down (US),Spotify Studios,spotify:show:7l1sgTpu8WoVJCVjIdRLLE
51,Where Is My Mind? (Spotify Only),"Niall Breslin, Big Face Productions",spotify:show:2CyjB6oxmOc8nsndBFCOVM
52,WorkLife with Adam Grant,TED,spotify:show:4eylg9GZJOVvUhTynt4jjA
53,Worldly,Vox,spotify:show:2ChhfoVUC3abZJn9geRvQn
54,Yokai Legends,King Kappa,spotify:show:3mUkywiaMQmf5WCHSwCVvn
