library_track_id,artist,album,track,uri
0,Natalia Lacunza,Otras Alas,Olivia,spotify:track:0okyvelhnnloZWHv6DwgSM
1,Nusrat Fateh Ali Khan,Shahen-Shah,Kali Kali Zulfon Ke Phande Nah Dalo,spotify:track:41p2AWpXt0QF4GFlsxVowq
2,Marshmello,BIBA,BIBA,spotify:track:0GVBPuCT3pBrXCdY3Uiy5B
3,Brothers + Company,Run,Take This Love,spotify:track:74ehQPUbiEVkUM0UdmkVzc
4,Pomme,les failles,grandiose,spotify:track:3NakEPSaVKsqqimJW66xCc
5,Skizzy Mars,The Red Balloon Project,Time (feat. G-Eazy & Olivver the Kid),spotify:track:1UmqCjLXjTwPmuTeaopDQh
6,Namita Choudhary,Chaap Tilak,Chaap Tilak,spotify:track:0XCtRvfDHT98h0iUSDFtyO
7,BoyWithUke,IDGAF,IDGAF (with blackbear),spotify:track:1nIO7R7447n8aWH4QmFBHC
8,Vance Joy,Dream Your Life Away,Riptide,spotify:track:3JvrhDOgAt6p7K8mDyZwRd
9,Nicky Youre,Sunroof,Sunroof,spotify:track:3RfTeIrWS8LNrfHYwechtt
10,Labrinth,Euphoria (Original Score from the HBO Series),Formula,spotify:track:6EtKlIQmGPB9SX8UjDJG5s
11,Noah Cyrus,Again (feat. XXXTENTACION),Again (feat. XXXTENTACION),spotify:track:2S2od3hT7ceytw7d1pTRuE
12,Metro Boomin,NOT ALL HEROES WEAR CAPES,Space Cadet (feat. Gunna),spotify:track:1fewSx2d5KIZ04wsooEBOz
13,Kids In America,Summer of Love,Summer of Love,spotify:track:1KbTuqLQFreQpsrbF6tn1R
14,The Weeknd,After Hours,Hardest To Love,spotify:track:6kWxIqQDsKFYCJGbU4AjCX
15,Hasan Raheem,SHE,Aarzu,spotify:track:0VRTOe8RLdpE2Pl557PCno
16,The Tamaashbeens,Singles,Razayi,spotify:track:2xUUT3uDkvpxiuGBWLUsSv
17,Imanbek,I'm Just Feelin' (Du Du Du),I'm Just Feelin' (Du Du Du),spotify:track:73ThEGwF5i9GrsXXGyZBRa
18,HVME,Goosebumps,Goosebumps,spotify:track:20McUFi8KCIVdNDLrkTDuZ
