podcast_id,episode,podcast,key
1,The Demystification of Dragon Lady with Margaret Cho & Lisa Ling,Archetypes,ArchetypesThe Demystification of Dragon Lady with Margaret Cho & Lisa Ling
2,46A-Jason and the Argonauts: Some Assembly Required,Myths and Legends,Myths and Legends46A-Jason and the Argonauts: Some Assembly Required
3,Don't Forget My Love - slowed + reverb,Diplo,DiploDon't Forget My Love - slowed + reverb
4,"Pokémon Theme (from ""Pokémon Red & Blue"") - Lo-Fi Edit",Besso0,"Besso0Pokémon Theme (from ""Pokémon Red & Blue"") - Lo-Fi Edit"
5,84-Famous Fairy Tales: Rule of Three,Myths and Legends,Myths and Legends84-Famous Fairy Tales: Rule of Three
6,Abortion pills,"Today, Explained","Today, ExplainedAbortion pills"
7,10B-Hercules: Labor Intensive,Myths and Legends,Myths and Legends10B-Hercules: Labor Intensive
8,60A-Beowulf: I'm Kind of a Big Deal,Myths and Legends,Myths and Legends60A-Beowulf: I'm Kind of a Big Deal
9,160-Halloween Special: Lurking,Myths and Legends,Myths and Legends160-Halloween Special: Lurking
11,I Yield My Time To The Chair,Growing Up Halal,Growing Up HalalI Yield My Time To The Chair
13,181A-Welsh Legends: Otherworld,Myths and Legends,Myths and Legends181A-Welsh Legends: Otherworld
15,"Live From New York | With Michaela Watkins, Amirah Vann and Lauren Molina",Modern Love,"Modern LoveLive From New York | With Michaela Watkins, Amirah Vann and Lauren Molina"
17,"Three Mothers, One Bond | With Gaby Hoffmann",Modern Love,"Modern LoveThree Mothers, One Bond | With Gaby Hoffmann"
19,141B-Robin Hood: The Hunted,Myths and Legends,Myths and Legends141B-Robin Hood: The Hunted
21,130C-Jungle Book: An Old War,Myths and Legends,Myths and Legends130C-Jungle Book: An Old War
24,65-Oedipus: Motherboy,Myths and Legends,Myths and Legends65-Oedipus: Motherboy
25,136-Pecos Bill: To the Moon and Back,Myths and Legends,Myths and Legends136-Pecos Bill: To the Moon and Back
26,54C-Gilgamesh: Dust,Myths and Legends,Myths and Legends54C-Gilgamesh: Dust
27,130A-Jungle Book: Welcome to the Jungle,Myths and Legends,Myths and Legends130A-Jungle Book: Welcome to the Jungle
28,93B-Theseus: Love and War,Myths and Legends,Myths and Legends93B-Theseus: Love and War
29,66-Paul Bunyan: Truth in Advertising,Myths and Legends,Myths and Legends66-Paul Bunyan: Truth in Advertising
30,74-Japanese Folklore: Do You Really Want to Live Forever?,Myths and Legends,Myths and Legends74-Japanese Folklore: Do You Really Want to Live Forever?
33,148B-Monkey King: Leaps and Bounds,Myths and Legends,Myths and Legends148B-Monkey King: Leaps and Bounds
35,25-Dragons: This is Where You Get to Make it Right,Myths and Legends,Myths and Legends25-Dragons: This is Where You Get to Make it Right
36,"3A-Vikings: The Norse and the Furious, Bredi’s Drift",Myths and Legends,"Myths and Legends3A-Vikings: The Norse and the Furious, Bredi’s Drift"
37,Santa Snafu,Not Past It ,Not Past It Santa Snafu
38,Don't Forget My Love,Diplo,DiploDon't Forget My Love
39,48-Snow White: Killer Queen,Myths and Legends,Myths and Legends48-Snow White: Killer Queen
42,Beowulf Pt. 1,Mythology,MythologyBeowulf Pt. 1
43,"11-Japanese Fairy Tales: Key Details (Urashima Taro, The Boy Who Drew Cats)",Myths and Legends,"Myths and Legends11-Japanese Fairy Tales: Key Details (Urashima Taro, The Boy Who Drew Cats)"
44,148A-Monkey King: Good Little Monkey,Myths and Legends,Myths and Legends148A-Monkey King: Good Little Monkey
45,94-Norse Legends: A Very Viking Christmas,Myths and Legends,Myths and Legends94-Norse Legends: A Very Viking Christmas
46,Introducing 'Modern Love: The Podcast',Modern Love,Modern LoveIntroducing 'Modern Love: The Podcast'
47,Mom/Not Mom/Aunt | With Jesse Tyler Ferguson,Modern Love,Modern LoveMom/Not Mom/Aunt | With Jesse Tyler Ferguson
49,120B-Holy Grail: Beyond the Sea,Myths and Legends,Myths and Legends120B-Holy Grail: Beyond the Sea
50,72-Kelpie: Party Horse,Myths and Legends,Myths and Legends72-Kelpie: Party Horse
51,A Heart Outrun | With Colin Farrell,Modern Love,Modern LoveA Heart Outrun | With Colin Farrell
52,81-Trolls: Breakups,Myths and Legends,Myths and Legends81-Trolls: Breakups
53,104-Egyptian Mythology: The First Avenger,Myths and Legends,Myths and Legends104-Egyptian Mythology: The First Avenger
54,"Monday, June 6th, 2022",Libra Today,"Libra TodayMonday, June 6th, 2022"
55,155-Fairy Tales: The Pearl,Myths and Legends,Myths and Legends155-Fairy Tales: The Pearl
56,3: 5 Ways to Practice Self-Compassion,An Audio Guide to Happiness,An Audio Guide to Happiness3: 5 Ways to Practice Self-Compassion
57,134-Grimm: Thirsty,Myths and Legends,Myths and Legends134-Grimm: Thirsty
60,22C-Irish Legends: The Spoils of War,Myths and Legends,Myths and Legends22C-Irish Legends: The Spoils of War
61,21-Frozen/The Snow Queen: Fearful Symmetry,Myths and Legends,Myths and Legends21-Frozen/The Snow Queen: Fearful Symmetry
63,19-Native American Folklore: Skeletons,Myths and Legends,Myths and Legends19-Native American Folklore: Skeletons
64,Fighting Words | With Alysia Reiner,Modern Love,Modern LoveFighting Words | With Alysia Reiner
65,154A-Viking Legends: Family Business,Myths and Legends,Myths and Legends154A-Viking Legends: Family Business
66,163-Hansel and Gretel: Crumble,Myths and Legends,Myths and Legends163-Hansel and Gretel: Crumble
67,ARCHETYPES. Don't believe the type. ,Archetypes,ArchetypesARCHETYPES. Don't believe the type. 
68,181B-Mabinogion: With Friends Like These,Myths and Legends,Myths and Legends181B-Mabinogion: With Friends Like These
69,Listener Mail: Cyclopean Stairs,Stuff To Blow Your Mind,Stuff To Blow Your MindListener Mail: Cyclopean Stairs
70,24-Thor: Whosoever Holds this Hammer,Myths and Legends,Myths and Legends24-Thor: Whosoever Holds this Hammer
71,139B-Irish Legends: Evitable,Myths and Legends,Myths and Legends139B-Irish Legends: Evitable
72,80B-Perseus: I'm Set Free,Myths and Legends,Myths and Legends80B-Perseus: I'm Set Free
75,98-Native American History: Runner in the Night,Myths and Legends,Myths and Legends98-Native American History: Runner in the Night
76,Yokai Legends Season 1 Episode 1: Sea Monsters,Yokai Legends,Yokai LegendsYokai Legends Season 1 Episode 1: Sea Monsters
78,143-Japanese Folktales: Crabby,Myths and Legends,Myths and Legends143-Japanese Folktales: Crabby
79,115-Chinese Folklore: Another Brick in the Wall,Myths and Legends,Myths and Legends115-Chinese Folklore: Another Brick in the Wall
80,50-Dracula: Bad Blood,Myths and Legends,Myths and Legends50-Dracula: Bad Blood
81,149-Japanese Fairy Tales: Son of a Peach,Myths and Legends,Myths and Legends149-Japanese Fairy Tales: Son of a Peach
82,99-William Tell: One Shot,Myths and Legends,Myths and Legends99-William Tell: One Shot
83,Introducing McKinsey Recruiting,McKinsey Recruiting,McKinsey RecruitingIntroducing McKinsey Recruiting
84,76-Greek Myths: Lioness,Myths and Legends,Myths and Legends76-Greek Myths: Lioness
86,Yokai Legends Season 1 Episode 2: Clash of the Titans,Yokai Legends,Yokai LegendsYokai Legends Season 1 Episode 2: Clash of the Titans
87,180-Azorean Folklore: Power,Myths and Legends,Myths and Legends180-Azorean Folklore: Power
88,12-Pig-faced Women: Citation Needed,Myths and Legends,Myths and Legends12-Pig-faced Women: Citation Needed
89,96-Russian Folklore: Cold as Ice,Myths and Legends,Myths and Legends96-Russian Folklore: Cold as Ice
