tracks_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,album_id,album_name,album_uri,key
0,5dv4YSgkpflUQ31vIW9qXg,spotify:track:5dv4YSgkpflUQ31vIW9qXg,We Ball,31HjiqargV4NAw4GZqUale,Ace Hood,spotify:artist:31HjiqargV4NAw4GZqUale,4jqmUJ8Jex2D0Gjj7AyNTt,Mr. Hood,spotify:album:4jqmUJ8Jex2D0Gjj7AyNTt,We Ball:Ace Hood
1,7w87IxuO7BDcJ3YUqCyMTT,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,7gP3bB2nilZXLfPHJhMdvc,Foster The People,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,7Kmmw7Z5D2UD5MVwdm10sT,Torches,spotify:album:7Kmmw7Z5D2UD5MVwdm10sT,Pumped Up Kicks:Foster The People
2,0rIAC4PXANcKmitJfoqmVm,spotify:track:0rIAC4PXANcKmitJfoqmVm,Motivation,2cWZOOzeOm4WmBJRnD5R7I,Normani,spotify:artist:2cWZOOzeOm4WmBJRnD5R7I,2r6BEK0wzXbL8JHyCkeJkG,Motivation,spotify:album:2r6BEK0wzXbL8JHyCkeJkG,Motivation:Normani
3,1ChulFMnwxoD74Me8eX2TU,spotify:track:1ChulFMnwxoD74Me8eX2TU,You Spin Me Round (Like a Record),5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,5AMshCv0RIe2aO4XaQWhp4,Evolution: The Hits,spotify:album:5AMshCv0RIe2aO4XaQWhp4,You Spin Me Round (Like a Record):Dead Or Alive
4,7G9kVtJdtFKBzlFCDsFk1w,spotify:track:7G9kVtJdtFKBzlFCDsFk1w,Honest,4N7IToHBlPXqlrXiv1Nij6,rei brown,spotify:artist:4N7IToHBlPXqlrXiv1Nij6,7uQpjwgIdw1iWlMw4o4IOX,Honest,spotify:album:7uQpjwgIdw1iWlMw4o4IOX,Honest:rei brown
5,5P9gtOtId7RoyakIvlPGwM,spotify:track:5P9gtOtId7RoyakIvlPGwM,Neray Neray Vas,1Z6C3R1dyF4aTvBofGXGfp,Soch the Band,spotify:artist:1Z6C3R1dyF4aTvBofGXGfp,6EpM6TDOrXbJp65oKySgCt,Neray Neray Vas,spotify:album:6EpM6TDOrXbJp65oKySgCt,Neray Neray Vas:Soch the Band
6,27g5G3TW90FSm3YxclYpAs,spotify:track:27g5G3TW90FSm3YxclYpAs,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),62DmErcU7dqZbJaDqwsqzR,Popcaan,spotify:artist:62DmErcU7dqZbJaDqwsqzR,0fwiBiv1i0rJzdJGCaHVJi,FIXTAPE,spotify:album:0fwiBiv1i0rJzdJGCaHVJi,TWIST & TURN (feat. Drake & PARTYNEXTDOOR):Popcaan
7,2f2hbFjim051DVx0o8o4rU,spotify:track:2f2hbFjim051DVx0o8o4rU,Nightmares,2FovgCfOwN9iqbkCBlKFdT,Ellise,spotify:artist:2FovgCfOwN9iqbkCBlKFdT,3tZMuGcIqKDhj2fTK7L3qS,Can You Keep a Secret?,spotify:album:3tZMuGcIqKDhj2fTK7L3qS,Nightmares:Ellise
8,2Y3USTCETS4xbjJOzT1Icm,spotify:track:2Y3USTCETS4xbjJOzT1Icm,Adderall (Corvette Corvette) - Remix,3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,spotify:artist:3fyhhXHbGVLuSHFk2SYx4I,3CHhjAvREJII4YPk4qyDXq,Adderall (Corvette Corvette) [Remix],spotify:album:3CHhjAvREJII4YPk4qyDXq,Adderall (Corvette Corvette) - Remix:Popp Hunna
9,5pF6yJ6UGGxeOhCkzRliSR,spotify:track:5pF6yJ6UGGxeOhCkzRliSR,Unaware,536osqBGKzeozje8BfcGsa,Allen Stone,spotify:artist:536osqBGKzeozje8BfcGsa,6thR6jvixyobv21QPAQrcz,Allen Stone,spotify:album:6thR6jvixyobv21QPAQrcz,Unaware:Allen Stone
10,1hJZvoGEYJAggWTWSPEzVu,spotify:track:1hJZvoGEYJAggWTWSPEzVu,thankful,41X1TR6hrK8Q2ZCpp2EqCz,bbno$,spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz,2i2J6QneO1x319QCJLkTBa,recess,spotify:album:2i2J6QneO1x319QCJLkTBa,thankful:bbno$
11,18UsAG7SfOQ5sxJEdjAMH0,spotify:track:18UsAG7SfOQ5sxJEdjAMH0,Be My Mistake,3mIj9lX2MWuHmhNCA7LSCW,The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,6PWXKiakqhI17mTYM4y6oY,A Brief Inquiry Into Online Relationships,spotify:album:6PWXKiakqhI17mTYM4y6oY,Be My Mistake:The 1975
12,5Qy6a5KzM4XlRxsNcGYhgH,spotify:track:5Qy6a5KzM4XlRxsNcGYhgH,6 Foot 7 Foot,55Aa2cqylxrFIXC767Z865,Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865,0pFydyko4Iw450abXlDPpp,Tha Carter IV (Complete Edition),spotify:album:0pFydyko4Iw450abXlDPpp,6 Foot 7 Foot:Lil Wayne
13,1i36kkhmhBxf4lYJscg5zK,spotify:track:1i36kkhmhBxf4lYJscg5zK,Fantasy,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl,5EEkfRgfYHiFu0lGur6Z6M,COSMIC,spotify:album:5EEkfRgfYHiFu0lGur6Z6M,Fantasy:Bazzi
14,4u52ubvdeWpzbjwcnG7C6l,spotify:track:4u52ubvdeWpzbjwcnG7C6l,Nice To Meet Ya,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4,6zE0osPv5yXlWr5DLup0kL,Pop clichés,spotify:album:6zE0osPv5yXlWr5DLup0kL,Nice To Meet Ya:Niall Horan
15,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,Passionfruit,3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,1lXY618HWkwYKJWBRYR4MK,More Life,spotify:album:1lXY618HWkwYKJWBRYR4MK,Passionfruit:Drake
16,0cu0rhnlCnJ7JIeHRiLpj3,spotify:track:0cu0rhnlCnJ7JIeHRiLpj3,Ball If I Want To,4r63FhuTkUYltbVAg5TQnk,DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk,6N9oICOUm4QT2YpWdKwUlu,Ball If I Want To,spotify:album:6N9oICOUm4QT2YpWdKwUlu,Ball If I Want To:DaBaby
17,4bkbTkgyTt3rAS9r6ASU65,spotify:track:4bkbTkgyTt3rAS9r6ASU65,Sinner Man,6QHu71f8LLeT8n0GzfbYFc,Gregory Isaacs,spotify:artist:6QHu71f8LLeT8n0GzfbYFc,0XiWne50xxHBDoEE1XoLz6,The Winner - The Roots of Gregory Isaacs 1974-1978,spotify:album:0XiWne50xxHBDoEE1XoLz6,Sinner Man:Gregory Isaacs
18,18PrtmAcNMgZNy1edWuXGb,spotify:track:18PrtmAcNMgZNy1edWuXGb,A Sky Full of Stars,09AgPKJAS5Muco3pU4xh7k,Mother's Daughter,spotify:artist:09AgPKJAS5Muco3pU4xh7k,57ua1UneZQCLbZhEI5OGwZ,A Sky Full of Stars,spotify:album:57ua1UneZQCLbZhEI5OGwZ,A Sky Full of Stars:Mother's Daughter
19,4Mi0EYfL78I3xZA7rtmOtI,spotify:track:4Mi0EYfL78I3xZA7rtmOtI,I Need More - Radio Edit,74tNiaBNZ0L0B4bu0lF6r1,Haley Bennett,spotify:artist:74tNiaBNZ0L0B4bu0lF6r1,7tK3QDXwCcgMl2bbgaZQD0,Cyrano (Original Motion Picture Soundtrack),spotify:album:7tK3QDXwCcgMl2bbgaZQD0,I Need More - Radio Edit:Haley Bennett
20,69WMdZSqdQwFgLVpbMsZ2J,spotify:track:69WMdZSqdQwFgLVpbMsZ2J,WIN,28ExwzUQsvgJooOI0X1mr3,Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,4IAMLhL37kMrpByavj25Ne,Redemption,spotify:album:4IAMLhL37kMrpByavj25Ne,WIN:Jay Rock
21,5GoGjEsPvr0McJQiGGCnws,spotify:track:5GoGjEsPvr0McJQiGGCnws,Man Listen,0FOWNUFHPnMy0vOw1siGqi,Belly,spotify:artist:0FOWNUFHPnMy0vOw1siGqi,1AAaWeadQaRO6Vab1u3qyU,Man Listen,spotify:album:1AAaWeadQaRO6Vab1u3qyU,Man Listen:Belly
22,7sDzAu7alAL1hWvL86tSGB,spotify:track:7sDzAu7alAL1hWvL86tSGB,Sweater Weather - Spotify Sessions Curated by Jim Eno,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,6SembYKumFch1Mm9FL0c8O,Spotify Sessions,spotify:album:6SembYKumFch1Mm9FL0c8O,Sweater Weather - Spotify Sessions Curated by Jim Eno:The Neighbourhood
23,0nJdcCGiQ1mKKTq8yaUCiH,spotify:track:0nJdcCGiQ1mKKTq8yaUCiH,Edge of Town,6AawJaQO4i99Be2A3w7BTW,Middle Kids,spotify:artist:6AawJaQO4i99Be2A3w7BTW,5d8AZrRua8369lyb28SUmi,Lost Friends,spotify:album:5d8AZrRua8369lyb28SUmi,Edge of Town:Middle Kids
24,1jJci4qxiYcOHhQR247rEU,spotify:track:1jJci4qxiYcOHhQR247rEU,Kids,0SwO7SWeDHJijQ3XNS7xEE,MGMT,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,6mm1Skz3JE6AXneya9Nyiv,Oracular Spectacular,spotify:album:6mm1Skz3JE6AXneya9Nyiv,Kids:MGMT
25,2YhE6xeWN0R9RVwEOG9lR1,spotify:track:2YhE6xeWN0R9RVwEOG9lR1,Candy,2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,spotify:artist:2LJxr7Pt3JnP60eLxwbDOu,2bO8HiXIChnnMT1UGuMUPR,So Real,spotify:album:2bO8HiXIChnnMT1UGuMUPR,Candy:Mandy Moore
26,6Td37HXpeCVelczrLcg73L,spotify:track:6Td37HXpeCVelczrLcg73L,Full Time Lover,0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,4WLh56ZjwINYBNhaxLvEhA,The Way That Lovers Do,spotify:album:4WLh56ZjwINYBNhaxLvEhA,Full Time Lover:Prateek Kuhad
27,2SpEHTbUuebeLkgs9QB7Ue,spotify:track:2SpEHTbUuebeLkgs9QB7Ue,Jolene,32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,spotify:artist:32vWCbZh0xZ4o9gkz4PsEU,5DyOxuvdSmTSNAmkfcsBsj,Jolene,spotify:album:5DyOxuvdSmTSNAmkfcsBsj,Jolene:Dolly Parton
28,2BSoyYgGmHrwmmCQG5GHQ7,spotify:track:2BSoyYgGmHrwmmCQG5GHQ7,Super Bad Mantra,25pd339V2rRJo84USlcSRP,JAWNY,spotify:artist:25pd339V2rRJo84USlcSRP,7KHTE99FaDr8r7V8BZG7WN,For Abby,spotify:album:7KHTE99FaDr8r7V8BZG7WN,Super Bad Mantra:JAWNY
