id,track_uri,track_name,artist_id,artist_name,artist_uri,genres_albums,key
6jAyMqsMuu7NTmefJVE8Pc,spotify:track:6jAyMqsMuu7NTmefJVE8Pc,Half Moon,6qiGjRyN7TJ1GA2nXF68Hi,Blind Pilot,spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,"['indie folk', 'neo mellow', 'new americana', 'portland indie', 'stomp and holler']",Half Moon:Blind Pilot
3CboywxfJIgvHqi2FF4exb,spotify:track:3CboywxfJIgvHqi2FF4exb,Loverboy,56OjNTX2bkrdGcB0staUOV,A-Wall,spotify:artist:56OjNTX2bkrdGcB0staUOV,['bedroom pop'],Loverboy:A-Wall
1Ob94QesoxHSBrypyBbdfd,spotify:track:1Ob94QesoxHSBrypyBbdfd,Shot Down,6LuN9FCkKOj5PcnpouEgny,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,"['pop', 'pop r&b']",Shot Down:Khalid
7uDE8BEhRLOdUaRuFw6VGR,spotify:track:7uDE8BEhRLOdUaRuFw6VGR,The Captain's Dead,3XquRQYlB1gXQkYdOV7S2x,Paddy And The Rats,spotify:artist:3XquRQYlB1gXQkYdOV7S2x,"['celtic punk', 'celtic rock', 'hungarian punk', 'pirate']",The Captain's Dead:Paddy And The Rats
6SkAUtqtV7DPMwMSBOxnch,spotify:track:6SkAUtqtV7DPMwMSBOxnch,Blinding Lights,2A5VOguZzXMBrg27MEUZcp,Twenty One Two,spotify:artist:2A5VOguZzXMBrg27MEUZcp,"['dalarna indie', 'pixie']",Blinding Lights:Twenty One Two
,i'm so tired...,Lauv,,,,,
05qCCJQJiOwvPQBb7akf1R,spotify:track:05qCCJQJiOwvPQBb7akf1R,Jamie All Over,3WfJ1OtrWI7RViX9DMyEGy,Mayday Parade,spotify:artist:3WfJ1OtrWI7RViX9DMyEGy,"['neon pop punk', 'pop emo', 'pop punk', 'rock']",Jamie All Over:Mayday Parade
66iP3U2QOKgevrnrbWk53S,spotify:track:66iP3U2QOKgevrnrbWk53S,"thank u, next",6MERXsiRbur2oJZFgYRDKz,Vitamin String Quartet,spotify:artist:6MERXsiRbur2oJZFgYRDKz,['bow pop'],"thank u, next:Vitamin String Quartet"
6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,4gwpcMTbLWtBUlOijbVpuu,Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu,"['metropopolis', 'modern rock']",Safe And Sound:Capital Cities
6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",Know No Better:Major Lazer
4eS6SJczn7yay78Spw3SPy,spotify:track:4eS6SJczn7yay78Spw3SPy,Do I Wanna Know? (triple j Like A Version),3CjlHNtplJyTf9npxaPl5w,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w,"['electropop', 'metropopolis', 'neo-synthpop', 'shimmer pop']",Do I Wanna Know? (triple j Like A Version):CHVRCHES
57uX2vR9j9DNiANDYfXw1i,spotify:track:57uX2vR9j9DNiANDYfXw1i,Never Say Never,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,"['neo mellow', 'piano rock', 'pop', 'pop rock']",Never Say Never:The Fray
2eJEWLQLjVXxsSHFvsPT85,spotify:track:2eJEWLQLjVXxsSHFvsPT85,Kabhi Na Kabhi,2DmMcw1UxHSzAEFrMY3r2D,Junaid Jamshed,spotify:artist:2DmMcw1UxHSzAEFrMY3r2D,"['classic pakistani pop', 'ghazal', 'naat', 'pakistani pop']",Kabhi Na Kabhi:Junaid Jamshed
