name,publisher,uri
A History of the World in 100 Objects,BBC Radio 4,spotify:show:01J8pPwYAt3NEvAkkuDOSs
Archetypes,Archewell Audio,spotify:show:6UfyXZgVAUX1UzF8j5L72t
Batman Unburied,Warner Bros. / Spotify Studios ,spotify:show:3pUWoZ6fC2qA02D3X0CeMb
Batman: The Audio Adventures,HBO Max,spotify:show:6YOANXuJ8AAtB2bFilDm6g
Chasing Life,CNN,spotify:show:3nKvLT48YbbRQoCYQ4ern1
Daily Quote,Parcast,spotify:show:24eKquCRxqOzM7qwVyVcNd
Dare to Lead with Brené Brown,Parcast,spotify:show:3oEPsPKDhPVoNNL7pH5db6
Dreamscapes,Dreamscapes,spotify:show:3YvkqDkpemZOvwSlLbq3c3
Electric Easy,QCODE,spotify:show:6mtiQZQcdxeBrYgQ4UDDpT
Every Little Thing,Gimlet,spotify:show:2dY2l2v95zz9HTlYvDSAdA
Faerie,Parcast,spotify:show:2luefy24L2m5FOxSZ4eiFi
Fictional,"Jason Weiser, Carissa Weiser | Bardic",spotify:show:5D3FdZ9Pq286O7owqg7tH5
Financial Analysts Journal,CFA Institute,spotify:show:0fLeIrU8s5RroyZiyEEaf5
Freaky Folklore,Eeriecast Network,spotify:show:0uiX155WEJnN7QVRfo3aQY
From where does it STEM?,JP Flores,spotify:show:1KLdFOVbk70n2qAz6zcdv2
Gradient Dissent,Lukas Biewald,spotify:show:7o9r3fFig3MhTJwehXDbXm
Growing Up Halal,The GUH Team,spotify:show:1EtVqFHbh5ssn8WFEkRw9i
Guiding Assets,CFA Institute,spotify:show:4z0UYTI6B1pfSk5UrpCqFk
Libra Today,Parcast,spotify:show:3wZSZkhUgJ4Uo8AnlSFTq7
Life Kit,NPR,spotify:show:5J0xAfsLX7bEYzGxOin4Sd
Lore,Aaron Mahnke and Grim & Mild,spotify:show:25PdDOYwfXDFvZ4pI1JWDh
Love Letters,The Boston Globe,spotify:show:1iohmBNlRooIVtukKeavRa
McKinsey Recruiting,McKinsey & Company Recruiting,spotify:show:69wkE6ZMWPQCccY1ncnYm8
Merriam-Webster's Word of the Day,Merriam-Webster,spotify:show:3eriKFVHdrmszF1Ip491eA
Modern Love,The New York Times,spotify:show:03Er7mSPq9IEewOgbPD3vO
Moments with The Slowdown,American Public Media,spotify:show:1WntSp7YIKh9hUIkv2odkb
Mythology,Parcast,spotify:show:1g056e2x0Y9AwW6CQF3qA5
Myths and Legends,"Jason Weiser, Carissa Weiser, Nextpod",spotify:show:6xqETOvGnSQHH0xdLtgcXU
Not Past It ,Gimlet,spotify:show:2IDH4p3mEBPgVHbq4HQVA2
Philosophize This!,Stephen West,spotify:show:2Shpxw7dPoxRJCdfFXTWLE
Science Rules! with Bill Nye,Stitcher & Bill Nye,spotify:show:3zGr8BgdHMdhUeLhgEYX8R
Science Vs,Gimlet,spotify:show:5lY4b5PGOvMuOYOjOVEcb9
Self Care IRL,Ty Alexander,spotify:show:0WxOgXrCh6s2Kko9c7TnjW
Stuff To Blow Your Mind,iHeartPodcasts,spotify:show:00VIrB4E80ThIbMnsgAoTA
Stuff You Should Know,iHeartPodcasts,spotify:show:0ofXAdFIQQRsCYj9754UFx
TED Talks Daily,TED,spotify:show:1VXcH8QHkjRcTCEd88U3ti
Tales,Parcast,spotify:show:2OIRaDoDPKx77wz1945ihy
The Daily Stoic,Daily Stoic | Wondery,spotify:show:7fY99FB3bNyn7nEdXCoBeB
The Final Round,AJ Eckstein,spotify:show:6VdnM88XFgbvBpUALR7eKL
The Intelligence from The Economist,The Economist,spotify:show:12zKAMNyS2GNentUzxq9QN
The Morning Ritual,Lilly Balch,spotify:show:39TsU0WWrC1jydU4BzfaRF
The Psychology of your 20’s,The Psychology of your 20’s,spotify:show:2HGcJRYrjGnpce6bRp8UXm
The Slowdown,American Public Media,spotify:show:4RxtLcGLwsYw6YLQdCDLPE
The Window,Spotify Studios,spotify:show:5mhBs8uGFudk5Ibtx1rLRj
"Think Fast, Talk Smart: Communication Techniques",Stanford GSB,spotify:show:6ll0MwobDt1JW9gYaOONEo
"Today, Explained",Vox,spotify:show:3pXx5SXzXwJxnf4A5pWN2A
Unexplainable,Vox,spotify:show:0PhoePNItwrXBnmAEZgYmt
WSJ What’s News,The Wall Street Journal,spotify:show:59176gU8vcFho6Sc1dm3Lu
WSJ Your Money Briefing,The Wall Street Journal,spotify:show:5YRV9BLDp5J6ODvbHsDmJi
WSJ’s The Future of Everything,The Wall Street Journal,spotify:show:2KICk2MxwEn9csPnvDQt6Q
Wake Up / Wind Down (US),Spotify Studios,spotify:show:7l1sgTpu8WoVJCVjIdRLLE
Where Is My Mind? (Spotify Only),"Niall Breslin, Big Face Productions",spotify:show:2CyjB6oxmOc8nsndBFCOVM
WorkLife with Adam Grant,TED,spotify:show:4eylg9GZJOVvUhTynt4jjA
Worldly,Vox,spotify:show:2ChhfoVUC3abZJn9geRvQn
Yokai Legends,King Kappa,spotify:show:3mUkywiaMQmf5WCHSwCVvn
