artist,album,track,uri
Natalia Lacunza,Otras Alas,Olivia,spotify:track:0okyvelhnnloZWHv6DwgSM
Nusrat Fateh Ali Khan,Shahen-Shah,Kali Kali Zulfon Ke Phande Nah Dalo,spotify:track:41p2AWpXt0QF4GFlsxVowq
Marshmello,BIBA,BIBA,spotify:track:0GVBPuCT3pBrXCdY3Uiy5B
Brothers + Company,Run,Take This Love,spotify:track:74ehQPUbiEVkUM0UdmkVzc
Pomme,les failles,grandiose,spotify:track:3NakEPSaVKsqqimJW66xCc
Skizzy Mars,The Red Balloon Project,Time (feat. G-Eazy & Olivver the Kid),spotify:track:1UmqCjLXjTwPmuTeaopDQh
Namita Choudhary,Chaap Tilak,Chaap Tilak,spotify:track:0XCtRvfDHT98h0iUSDFtyO
BoyWithUke,IDGAF,IDGAF (with blackbear),spotify:track:1nIO7R7447n8aWH4QmFBHC
Vance Joy,Dream Your Life Away,Riptide,spotify:track:3JvrhDOgAt6p7K8mDyZwRd
Nicky Youre,Sunroof,Sunroof,spotify:track:3RfTeIrWS8LNrfHYwechtt
Labrinth,Euphoria (Original Score from the HBO Series),Formula,spotify:track:6EtKlIQmGPB9SX8UjDJG5s
Noah Cyrus,Again (feat. XXXTENTACION),Again (feat. XXXTENTACION),spotify:track:2S2od3hT7ceytw7d1pTRuE
Metro Boomin,NOT ALL HEROES WEAR CAPES,Space Cadet (feat. Gunna),spotify:track:1fewSx2d5KIZ04wsooEBOz
Kids In America,Summer of Love,Summer of Love,spotify:track:1KbTuqLQFreQpsrbF6tn1R
The Weeknd,After Hours,Hardest To Love,spotify:track:6kWxIqQDsKFYCJGbU4AjCX
Hasan Raheem,SHE,Aarzu,spotify:track:0VRTOe8RLdpE2Pl557PCno
The Tamaashbeens,Singles,Razayi,spotify:track:2xUUT3uDkvpxiuGBWLUsSv
Imanbek,I'm Just Feelin' (Du Du Du),I'm Just Feelin' (Du Du Du),spotify:track:73ThEGwF5i9GrsXXGyZBRa
HVME,Goosebumps,Goosebumps,spotify:track:20McUFi8KCIVdNDLrkTDuZ
"merci, mercy",Why'd You Only Call Me When You're High?,Why'd You Only Call Me When You're High?,spotify:track:7GzmBQVPlJ9blD0Qb7Dbq8
RAYE,Euphoric Sad Songs,Regardless,spotify:track:3DTqHfTGj1c6y2gDXsTez4
Bastille,Bad Blood,Pompeii,spotify:track:3gbBpTdY8lnQwqxNCcf795
PJ Harvey,Red Right Hand,Red Right Hand - From 'Peaky Blinders' Original Soundtrack,spotify:track:0E0ZAWynZx0CutIg4rb8q3
Sune Rose Wagner,Altered Carbon (Original Series Soundtrack) [Deluxe],Let My Baby Ride,spotify:track:6DF5tZ8H0JIk6GHxdLSWiT
Post Malone,beerbongs & bentleys,rockstar (feat. 21 Savage),spotify:track:0e7ipj03S05BNilyu5bRzt
Nusrat Fateh Ali Khan,Best of Ustad Nusrat Fateh Ali Khan,Chaap Tilak Sab Cheen,spotify:track:3bd4ge8KHgWggvYMJFFHKV
Fareed Ayaz Abu Muhammad Qawwal,"Mehfil E Samaa, Vol. 3",Chaap Tilak,spotify:track:1M1HJZOQsAbk3ecF3FE8kG
Majid Jordan,Caught Up (feat. Khalid),Caught Up (feat. Khalid),spotify:track:1opARDDYaOeE1QUdwXmBGu
Journey,80s 100 Hits,Don't Stop Believin',spotify:track:3HRQtRUYnnuZY7fE900XtJ
Creedence Clearwater Revival,Green River,Bad Moon Rising,spotify:track:20OFwXhEXf12DzwXmaV7fj
The Weeknd,Dawn FM,Best Friends,spotify:track:78kBfiOIowbBQ96iQGQCl8
Nusrat Fateh Ali Khan,Body and Soul,Barsoon Kay Intizar Ka,spotify:track:1QZnpSnrAbD6NUmbpO2UHL
Yoke Lore,Goodpain,Beige,spotify:track:0FfZudphGgQTGeEV6AhmOs
Hozier,Hozier (Expanded Edition),Jackie and Wilson,spotify:track:4JpazKcfOhbwqZrsYhzHee
4*TOWN (From Disney and Pixar’s Turning Red),Nobody Like U,"Nobody Like U - From ""Turning Red""",spotify:track:6WdfqDzpz3XkvMSlPVc0U8
The Weeknd,After Hours,Scared To Live,spotify:track:4BGZF4oLbTL0pWm7C18pbv
The Weeknd,Dawn FM,Don’t Break My Heart,spotify:track:3LAJkm4BFdM6Qx5vhmLxsN
Glass Animals,Dreamland,Space Ghost Coast To Coast,spotify:track:1mvWUzig2lE0QGmvSZdnnR
Vansire,Metamodernity,Metamodernity,spotify:track:61GiMDN1kUiEQK6zHGMdnx
Ramin Djawadi,Westworld: Season 1 (Music from the HBO Series),"Paint It, Black",spotify:track:6rSVuRt7xl4GsEQv4tphSl
Camila Cabello,Don't Go Yet,Don't Go Yet,spotify:track:1058fW9H3fZA6QjYCdOBad
Prateek Kuhad,"Kasoor (From ""Dhamaka"")","Kasoor (From ""Dhamaka"") - Acoustic",spotify:track:7mJdz7uNv3jgVSIMkSf8ca
Hozier,Hozier (Expanded Edition),Work Song,spotify:track:5TgEJ62DOzBpGxZ7WRsrqb
renforshort,virtual reality,virtual reality,spotify:track:7wWqAGY1k2cr1ntffgBBH1
The Weeknd,Dawn FM,Out of Time,spotify:track:5pzEL5TSvnT36z8fnMuyJL
Childish Gambino,Kauai,Sober,spotify:track:5NhlpQ6BOIz3S5welptk1W
The Cardigans,First Band On The Moon,Lovefool - Radio Edit,spotify:track:0u4htORODiTK9vHVA89MQX
blackbear,@ my worst,@ my worst,spotify:track:0mHGftgYtmpH4y17T3VZ2E
Fareed Ayaz Abu Muhammad Qawwal,Annual Festival - March 2007,Ghar Nari Ganwari,spotify:track:4vMsuKK8IpCrauhaQ941II
Abdullah Siddiqui,GO,GO,spotify:track:6NEEbZXla00cRzXErdNZ6k
Julia In Red,Galaxy Dreaming,Luv Nw,spotify:track:2vWNU4PYzxvC0Sq3MZ8O7z
Raihan,The Spirit of Shalawat,Tola'al Badru,spotify:track:1aOo6ZkQCMmKXyjirZubee
Taba Chake,Blush,Blush,spotify:track:6IjeHG6oLIkZeSq2SMEAtd
Pritam,Dum Maaro Dum,Jiyein Kyun,spotify:track:0up9rhm9qt2LW7cnoDFCMk
Kings Cross Stringband,Row Me Bully Boys,Row Me Bully Boys,spotify:track:4M8KqCrBafWw7UfugjZ8ln
Wallows,Nothing Happens,Are You Bored Yet? (feat. Clairo),spotify:track:57RA3JGafJm5zRtKJiKPIm
Prateek Kuhad,Just A Word,Just A Word,spotify:track:4iP7HF6dhCmvXOk6pHnX9u
Labrinth,Imagination & the Misfit Kid,Mount Everest,spotify:track:1ZdhOMWyFR8Iv9eylMGYg2
Ansel Elgort,Supernova,Supernova,spotify:track:2ZIZXWnU52s0C75sPYiwvh
Prateek Kuhad,Kasoor,Kasoor,spotify:track:08kTa3SL9sV6Iy8KLKtGql
DJ Khaled,GREECE (feat. Drake),GREECE (feat. Drake),spotify:track:35RJhm1pEovTBwnNR0zWad
Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),spotify:track:2Yer0p7uB2lVBUAtANuuQp
Elton John,Rock Of The Westies,Don't Go Breaking My Heart,spotify:track:5nPdMALTEd7HOjn16oNf2X
Qari Waheed Zafar Qasmi,"Gulzar e Madina, Vol. 2",Qasida Burda Sharif,spotify:track:2zsQKhZhWNUxY5YCKSxjoS
Hadiqa Kiani,Roshni,Boohey Barain,spotify:track:3rm4fbWPpW7S0Mwka131vb
