trackName,artistName,albumName,trackUri,playlist_name,addedDate
NFWMB,Hozier,Nina Cried Power - EP,spotify:track:2iQYqdalv245vrCEM4W9N9,Hozier’s Lullaby ,2023-02-22
No Plan,Hozier,"Wasteland, Baby!",spotify:track:4byXh93siQtzKLdjKuJaAF,Hozier’s Lullaby ,2023-02-22
Movement,Hozier,"Wasteland, Baby!",spotify:track:1djzKW3eYLyzjjHXazEWWh,Hozier’s Lullaby ,2023-02-22
"Wasteland, Baby!",Hozier,"Wasteland, Baby!",spotify:track:1HYnjKqSSHh1tdl2Hi57zH,Hozier’s Lullaby ,2023-02-22
Shrike - Live at Windmill Lane Studios,Hozier,Shrike,spotify:track:7yobFS2wibnb5rteh6Z8Zx,Hozier’s Lullaby ,2023-02-22
Run,Hozier,Hozier (Expanded Edition),spotify:track:2AEKTA8tQnXUullpmN8NkL,Hozier’s Lullaby ,2023-02-22
Would That I,Hozier,"Wasteland, Baby!",spotify:track:37zuIvk4KBkAxxLJsxJaHq,Hozier’s Lullaby ,2023-02-22
Stick Season,Noah Kahan,Stick Season,spotify:track:0mflMxspEfB0VbI1kyLiAv,Hozier’s Lullaby ,2023-02-22
Like Real People Do,Hozier,Hozier (Expanded Edition),spotify:track:57V4uc2b2diZ4RPHXWecb9,Hozier’s Lullaby ,2023-02-22
As It Was,Hozier,"Wasteland, Baby!",spotify:track:4xEHlCgoKd4RdrS79OPn9y,Hozier’s Lullaby ,2023-02-23
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Mile High View,2022-12-19
3005,Childish Gambino,Because the Internet,spotify:track:5cc9Zbfp9u10sfJeKZ3h16,Mile High View,2022-12-19
No Role Modelz,J. Cole,2014 Forest Hills Drive,spotify:track:68Dni7IE4VyPkTOH9mRWHr,Mile High View,2022-12-19
Roses,SAINt JHN,Collection One,spotify:track:3mRlFZHUyvJbPTlkzg4LyJ,Mile High View,2022-12-19
Ignite The Love,Kid Cudi,Entergalactic,spotify:track:7CY88rDZ8oKYAlmYoSyxwR,Mile High View,2022-12-19
Raeb's Lament,Bear McCreary,God of War Ragnarök (Original Soundtrack),spotify:track:404eOIgbr1qdzcJ7BE1Xtz,Mile High View,2022-12-19
MAGIC,Vince Staples,RAMONA PARK BROKE MY HEART,spotify:track:7jN5Abri3a1crehbnlWa1F,Mile High View,2022-12-19
Waterfalls Coming Out Your Mouth,Glass Animals,Dreamland,spotify:track:6rg8jKMFjOcjSVDSCH9SHK,Mile High View,2022-12-19
Tere Hi Hum,Prateek Kuhad,Tere Hi Hum,spotify:track:1TkyDEdjiUuYhoMkxdZCiO,Mile High View,2022-12-19
No Plan,Hozier,"Wasteland, Baby!",spotify:track:4byXh93siQtzKLdjKuJaAF,Mile High View,2022-12-19
Doobne De (Reprise),Hassan & Roshaan,Chaar Dinon Ka Khwaab,spotify:track:5wCXwpUnp9Yz56dfqi4gNA,Mile High View,2022-12-19
Ishq Bina,Hassan & Roshaan,Chaar Dinon Ka Khwaab,spotify:track:2Ex6KWRTPvHtRveKdxc5gC,Mile High View,2022-12-19
Scatterbrain,Emei,Scatterbrain,spotify:track:5DKcc3WxMwE7JB1IxCrdrs,Mile High View,2023-02-03
Blood Upon the Snow,Hozier,God of War Ragnarök (Original Soundtrack),spotify:track:5cgacDGTfR9sm4W03syTyX,Recent Favorites,2022-11-10
New Mode,Kid Cudi,Entergalactic,spotify:track:42pKWuJst0oAuUbTvkNqr6,Recent Favorites,2022-11-10
By Design,Kid Cudi,"Passion, Pain & Demon Slayin'",spotify:track:5FxVTEpoBress37MmlMhbZ,Recent Favorites,2022-11-10
Lavender Haze,Taylor Swift,Midnights,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Recent Favorites,2022-11-10
Ignite The Love,Kid Cudi,Entergalactic,spotify:track:7CY88rDZ8oKYAlmYoSyxwR,Recent Favorites,2022-11-10
Somewhere to Fly (with Don Toliver),Kid Cudi,Entergalactic,spotify:track:1irXetrpIyLUtvkNw2F2tu,Recent Favorites,2022-11-10
My Drug,Kid Cudi,Entergalactic,spotify:track:6MQuFi8gzoJAYwxkYvnbb1,Recent Favorites,2022-11-10
On My Own,Jaden,ERYS,spotify:track:4D1eVq5AUILwjg3tAe7o6M,Recent Favorites,2022-11-10
Angel,Kid Cudi,Entergalactic,spotify:track:1T8YUlqrG15Tjetxhos6eJ,Recent Favorites,2022-11-10
Closer,Khanvict,Closer,spotify:track:57UD8zx3Y6wH7ALm1eII9A,Recent Favorites,2022-11-10
Watermelon Sugar,Harry Styles,Watermelon Sugar,spotify:track:1e9oZCCiX42nJl0AcqriVo,Recent Favorites,2022-11-10
Lose Control,MEDUZA,Lose Control,spotify:track:7CHi4DtfK4heMlQaudCuHK,Recent Favorites,2022-11-10
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,Secret Dreams And Forbidden Fire,spotify:track:7L2eFj0KFJDmHTPMUL4ZxR,Recent Favorites,2022-11-10
I Fall Apart - Recorded At Electric Lady Studios NYC,FLETCHER,Spotify Singles,spotify:track:0MVvZYjUh20I13vor30dYe,Recent Favorites,2022-11-10
Seasons (Waiting On You),Future Islands,Singles,spotify:track:41X9To0bQ4fpoSRri4NHiI,Recent Favorites,2022-11-10
In Your Eyes,The Weeknd,After Hours,spotify:track:7szuecWAPwGoV1e5vGu8tl,Recent Favorites,2022-11-10
Around the World,Daft Punk,Around the World,spotify:track:4NTnsmgHxlu92IlJqFwvoz,Recent Favorites,2022-11-10
Missed You - Bonus Track,The Weeknd,After Hours,spotify:track:38uNCW1do0LKfMIt4MDkPo,Recent Favorites,2022-11-10
Blinding Lights,The Weeknd,After Hours,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Recent Favorites,2022-11-10
Rung,Shamoon Ismail,Juice,spotify:track:5qlsGohL4JSjYFYnCsljHM,Recent Favorites,2022-11-10
Until I Bleed Out,The Weeknd,After Hours,spotify:track:2BcnxwxBuar5wjCaLqm5N3,Recent Favorites,2022-11-10
After Hours,The Weeknd,After Hours,spotify:track:2p8IUWQDrpjuFltbdgLOag,Recent Favorites,2022-11-10
Willing To Trust (with Ty Dolla $ign),Kid Cudi,Entergalactic,spotify:track:1OFQT3lHGbnn3x9jPtagXk,Recent Favorites,2022-11-10
Heartless,The Weeknd,After Hours,spotify:track:6bnF93Rx87YqUBLSgjiMU8,Recent Favorites,2022-11-10
Take My Breath,The Weeknd,Dawn FM,spotify:track:2vgUijXOTRMnWXDtvgMp2b,Recent Favorites,2022-11-10
Marijuana,Shamoon Ismail,Cookie,spotify:track:1C9DajYq19423BwN85bNf0,Recent Favorites,2022-11-10
Sage,Ritviz,Sage,spotify:track:64RkEV5b7bG697vhIPMlrl,Recent Favorites,2022-11-10
Die For Me (feat. Future & Halsey),Post Malone,Hollywood's Bleeding,spotify:track:2C6WXnmZ66tHhHlnvwePiK,Recent Favorites,2022-11-10
Heat Waves,Glass Animals,Dreamland,spotify:track:02MWAaffLxlfxAUY7c5dvx,Recent Favorites,2022-11-10
Heat Waves - Shakur Ahmad Remix,Glass Animals,Dreamland,spotify:track:1GBmQKcza0uFT6g5HjXHcp,Recent Favorites,2022-11-10
The Other Side Of Paradise,Glass Animals,How To Be A Human Being,spotify:track:0rRjGruFonCGOt0S5zAJNQ,Recent Favorites,2022-11-10
The Less I Know The Better,Tame Impala,Currents,spotify:track:6K4t31amVTZDgR3sKmwUJJ,Recent Favorites,2022-11-10
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,spotify:track:086myS9r57YsLbJpU0TgK9,Recent Favorites,2022-11-10
Scary Love,The Neighbourhood,To Imagine - EP,spotify:track:3D9YM8O9i1JQjE3uJHVeVA,Recent Favorites,2022-11-10
In Your Eyes (with Doja Cat) - Remix,The Weeknd,In Your Eyes,spotify:track:0UnTaVkntyh3vqvLEvbpQx,Recent Favorites,2022-11-10
Save Your Tears,The Weeknd,After Hours,spotify:track:5QO79kh1waicV47BqGRL3g,Recent Favorites,2022-11-10
Roses - Imanbek Remix,SAINt JHN,Roses,spotify:track:2Wo6QQD1KMDWeFkkjLqwx5,Recent Favorites,2022-11-10
